friend_tagg_count,pid,comment_count,like_count,post_type,fid,created_time,message,share_count
7,143653685699398_1413802058684548,10,416,share,143653685699398,2017-03-16T16:34:44+0000,"中科商圈的粉絲們～伯朗先生來啦！
3/17～3/19  飲品買一送一
3/17～4/9  消費滿額還可獲得環保提袋
購買Lounge卡再送你飲品雙享券

快tag家人好友一起到
伯朗咖啡館台中中科店一同歡慶～
（贈品數量有限，送完為止）

★開幕詳情　https://goo.gl/JIQRUi",40
0,394413307347229_1180850318703520,1,47,photo,394413307347229,2017-03-15T09:32:20+0000,"#CZ最優惠~墨西哥早鳥優惠活動搶先報！
3/17~23期間購買台北 - 墨西哥城機票，
限時促銷價僅19200TWD起(未稅)，
領略包羅萬象的拉丁風情就趁現在！
----------------------------------
南方航空 台北－墨西哥城航線 4月10日起全新開航！
購票→ http://global.csair.com/TW/TW/Home
更多有關墨西哥→ https://goo.gl/nDmoFY",4
0,142816435924517_628526090686880,0,7,photo,142816435924517,2017-06-22T10:00:12+0000,"【星展社企伸展台】
展編覺得，每次的出國旅遊✈
除了欣賞異國美景、體驗異國文化
其實，還可以有更深刻的人生體悟👀
星展銀行扶持的🌎「以立國際服務」
號召自願者到貧困國家擔任志工
💓用實際行動去幫助當地弱勢居民
不只改變自己，更改變別人的人生
快跟著御姊愛的腳步👣
認識這份跨越國際的愛心吧〜
>> https://goo.gl/RGnHJ4
#星展銀行 #星展社企伸展台
#御姊愛 #以立國際服務",0
81,251538521716188_637528573117179,109,4009,share,251538521716188,2017-03-15T10:00:32+0000,"【台灣虎航 釜山週四增班單程未稅TWD999起】
#三日限定 #零點準時開賣 
訂票去 👉  https://goo.gl/RF83mO

購票時間　2017/3/16 00:00 – 2017/3/18 23:59
搭乘時間　2017/3/30-2017/10/28

台北－釜山單程未稅TWD999起
（不限週四航班）

要向釜山行，現在山有更多虎了！
到甘川洞尋找小王子的身影，或是海雲台踏浪玩沙！
再去扎嘎其市場吃生猛活跳海鮮！
台灣虎航台北－釜山加開週四航班，時間更彈性，玩法更多元。

注意事項：
1. 此優惠價為單程未稅，訂位時出現的售價為加上機場稅之含稅價(3月份機場稅參考金額：台北TWD500、釜山TWD630)
2.每個航班優惠價機位開放銷售之日期及機位數有限，售完為止 。
3.僅適用於台灣虎航航班(IT開頭的航班號碼)
4.此優惠亦適用於台灣虎航手機APP (Android系統用戶使用前請先更新)
5.付款失敗時，為保障持卡人權益，請持卡人逕洽發卡銀行確認付款失敗原因。
6.本優惠恕不適用於嬰兒票。所有預定均不可退款、不可轉讓。虎航保留更改、修改、取消本次促銷的權利，恕不另行通知。
7.更改及各附加服務費說明，請參考 http://www.tigerairtw.com/tw/zh/faqs.php 
*手機版網頁以及APP若因流量過大無法訂位，請改於PC版網頁訂位。",104
0,344867628859850_1610117799001487,0,0,album,344867628859850,2017-06-04T12:00:00+0000,"韓風時尚來襲，當季時尚女裝！
簡約時尚穿搭的不二選擇>> http://zlr.tw/2j8dkQy",0
454,143039229176602_827186614095190,600,50,photo,143039229176602,2017-06-16T04:00:00+0000,"【＃參加活動即有機會獲得照片中的獎品】
　
長榮樂e購為你提供快速又便捷的網路購物服務，有最受歡迎的長榮航空限量LOGO 商品、人氣Hello Kitty商品、機上嚴選及飛機模型，直接宅配到你家，讓你不用出國，在家也能買到機上商品。
　
即日起至6/18 23:59止，在以下留言分享樂e購連結並TAG三位您的旅遊好夥伴，並寫出「快上長榮樂e購（https://goo.gl/AkTNQe） 一起來購物」小潔將隨機抽出八位幸運兒～～
EX:「＠潔弟、＠潔妹、＠潔寶，快上長榮樂e購（https://goo.gl/AkTNQe） 一起來購物」
　

#EVAAir #長榮樂e購 #暑假購物季",869
0,100860886668027_1371534689600634,0,30,photo,100860886668027,2017-06-23T07:24:04+0000,"即日起，台北喜來登推出【雪焰食藝】鹽燒雙人套餐饗宴
取自大自然中的深層海鹽，隨爐火升溫，燃起一場兼具視覺與味覺的雪白盛宴，精選美國特級肋眼牛排及紐西蘭羊排，透過鹽燒方式封存頂級肉品的鮮嫩多汁，完美演繹經典法式風味！
詳情及預約請洽02 2321 1818訂席中

Antoine Room “Snow and Flame Gourmet Dining” grilled meat feast for two
Grilled to perfection with natural deep sea salt extracts, the white feast ignites both your vision and taste. Featured US Prime Rib Eye Steak and New Zealand Lamb Chop, grilled with salt to seal the juiciness and tenderness of prime-aged meat, is the perfect interpretation of the classic French flavor!
Reservation Hotline 02 2321 1818",0
0,143039229176602_771674156313103,86,1211,photo,143039229176602,2017-03-31T09:00:00+0000,"【城市光點】 vs 【高空雲海】
你比較喜歡哪種空中美景呢？

#EVAAir @Toony Choou",17
0,283161705067_10158554211560068,2,96,cover_photo,283161705067,2017-04-17T01:42:02+0000,"今年春天，想騎就騎
2017 單車購物節 即日起~5/31 

 🎉購買Liv品牌 $9,800以上車款，送Beliv潮T
 🎉 GIANT、Liv品牌商品配件88折
 🎉 CONDUCT改裝升級77折，再送運動排汗T (本活動為購買ANYROAD、INVITE、DEFY、AVAIL線控碟煞車主適用)

詳情請洽捷安特各門市~~~ https://goo.gl/gkzd1s",18
1,424811310898359_1465818840130929,1,75,photo,424811310898359,2017-06-12T10:55:41+0000,"進入夏天後，上妝往往變成挑戰！兼具裸透、光澤、水嫩、無瑕、清爽五感平衡的底妝，才是今夏完勝妝容！
雪花秀邀請首爾時裝周御用專業彩妝師特別來台，為妳訂製專屬「夏日五感平衡妝」，成為發光精靈王！ 

－時間：6/17-18 12:00~19:00 
－地點：忠孝SOGO本館1樓雪花秀專櫃
－主題：訂製妳的「夏日五感平衡妝」成為發光精靈王 
－報名方式：請於私訊留下姓名、手機、日期
－活動預約金$600(當日需消費，預約金可折抵當日消費)
－專屬預約禮: 肌本潤唇膏隨身三色唇盤+滋晶瑩白潔面乳15ml",10
